State,HateGroups
Alabama,22
Arizona,18
Arkansas,22
California,68
Colorado,16
Connecticut,2
Delaware,5
Florida,58
Georgia,39
Idaho,8
Illinois,23
Indiana,16
Iowa,5
Kansas,5
Kentucky,13
Louisiana,21
Maine,2
Maryland,15
Massachusetts,10
Michigan,19
Minnesota,6
Mississippi,19
Missouri,22
Montana,6
Nebraska,5
Nevada,4
New Hampshire,6
New Jersey,21
New Mexico,3
New York,44
North Carolina,29
North Dakota,2
Ohio,34
Oklahoma,17
Oregon,9
Pennsylvania,40
Rhode Island,3
South Carolina,22
South Dakota,5
Tennessee,41
Texas,84
Utah,3
Vermont,3
Virginia,32
Washington,8
West Virginia,8
Wisconsin,9
Wyoming,2
