"url","Link","Link_link","Rate","Total","Percentage","Clinics"
"http://www.abort73.com/abortion_facts/states/","Alabama","http://www.abort73.com/abortion_facts/states/alabama","10","9,550","12%","8"
"http://www.abort73.com/abortion_facts/states/","Alaska","http://www.abort73.com/abortion_facts/states/alaska","12.4","1,820","12%","9"
"http://www.abort73.com/abortion_facts/states/","Arizona","http://www.abort73.com/abortion_facts/states/arizona","12.7","16,100","13%","17"
"http://www.abort73.com/abortion_facts/states/","Arkansas","http://www.abort73.com/abortion_facts/states/arkansas","7.6","4,370","9%","5"
"http://www.abort73.com/abortion_facts/states/","California","http://www.abort73.com/abortion_facts/states/california","23","181,730","23%","512"
"http://www.abort73.com/abortion_facts/states/","Colorado","http://www.abort73.com/abortion_facts/states/colorado","14.2","14,710","16%","42"
"http://www.abort73.com/abortion_facts/states/","Connecticut","http://www.abort73.com/abortion_facts/states/connecticut","21.3","14,640","24%","41"
"http://www.abort73.com/abortion_facts/states/","Delaware","http://www.abort73.com/abortion_facts/states/delaware","28.4","5,090","27%","8"
"http://www.abort73.com/abortion_facts/states/","District of Columbia","http://www.abort73.com/abortion_facts/states/district_of_columbia","28.5","4,750","29%","9"
"http://www.abort73.com/abortion_facts/states/","Florida","http://www.abort73.com/abortion_facts/states/florida","23.7","84,990","24%","88"
"http://www.abort73.com/abortion_facts/states/","Georgia","http://www.abort73.com/abortion_facts/states/georgia","16.8","34,910","18%","28"
"http://www.abort73.com/abortion_facts/states/","Hawaii","http://www.abort73.com/abortion_facts/states/hawaii","21.1","5,580","19%","33"
"http://www.abort73.com/abortion_facts/states/","Idaho","http://www.abort73.com/abortion_facts/states/idaho","5.4","1,680","6%","4"
"http://www.abort73.com/abortion_facts/states/","Illinois","http://www.abort73.com/abortion_facts/states/illinois","17","44,580","18%","37"
"http://www.abort73.com/abortion_facts/states/","Indiana","http://www.abort73.com/abortion_facts/states/indiana","7.3","9,430","9%","12"
"http://www.abort73.com/abortion_facts/states/","Iowa","http://www.abort73.com/abortion_facts/states/iowa","9.7","5,640","11%","18"
"http://www.abort73.com/abortion_facts/states/","Kansas","http://www.abort73.com/abortion_facts/states/kansas","12.5","6,940","13%","3"
"http://www.abort73.com/abortion_facts/states/","Kentucky","http://www.abort73.com/abortion_facts/states/kentucky","4.6","3,970","6%","3"
"http://www.abort73.com/abortion_facts/states/","Louisiana","http://www.abort73.com/abortion_facts/states/louisiana","13.1","12,210","14%","7"
"http://www.abort73.com/abortion_facts/states/","Maine","http://www.abort73.com/abortion_facts/states/maine","9.9","2,360","13%","11"
"http://www.abort73.com/abortion_facts/states/","Maryland","http://www.abort73.com/abortion_facts/states/maryland","28.6","34,260","27%","34"
"http://www.abort73.com/abortion_facts/states/","Massachusetts","http://www.abort73.com/abortion_facts/states/massachusetts","17.8","24,030","21%","40"
"http://www.abort73.com/abortion_facts/states/","Michigan","http://www.abort73.com/abortion_facts/states/michigan","15.3","29,190","17%","41"
"http://www.abort73.com/abortion_facts/states/","Minnesota","http://www.abort73.com/abortion_facts/states/minnesota","10.7","11,140","12%","15"
"http://www.abort73.com/abortion_facts/states/","Mississippi","http://www.abort73.com/abortion_facts/states/mississippi","3.7","2,220","4%","2"
"http://www.abort73.com/abortion_facts/states/","Missouri","http://www.abort73.com/abortion_facts/states/missouri","5","5,820","6%","5"
"http://www.abort73.com/abortion_facts/states/","Montana","http://www.abort73.com/abortion_facts/states/montana","12.3","2,220","13%","8"
"http://www.abort73.com/abortion_facts/states/","Nebraska","http://www.abort73.com/abortion_facts/states/nebraska","7.2","2,570","8%","5"
"http://www.abort73.com/abortion_facts/states/","Nevada","http://www.abort73.com/abortion_facts/states/nevada","20.6","11,290","21%","14"
"http://www.abort73.com/abortion_facts/states/","New Hampshire","http://www.abort73.com/abortion_facts/states/new_hampshire","12.9","3,200","17%","13"
"http://www.abort73.com/abortion_facts/states/","New Jersey","http://www.abort73.com/abortion_facts/states/new_jersey","27.1","46,990","26%","64"
"http://www.abort73.com/abortion_facts/states/","New Mexico","http://www.abort73.com/abortion_facts/states/new_mexico","13","5,180","13%","12"
"http://www.abort73.com/abortion_facts/states/","New York","http://www.abort73.com/abortion_facts/states/new_york","34.2","138,370","31%","225"
"http://www.abort73.com/abortion_facts/states/","North Carolina","http://www.abort73.com/abortion_facts/states/north_carolina","14.6","28,600","16%","36"
"http://www.abort73.com/abortion_facts/states/","North Dakota","http://www.abort73.com/abortion_facts/states/north_dakota","9.5","1,250","10%","1"
"http://www.abort73.com/abortion_facts/states/","Ohio","http://www.abort73.com/abortion_facts/states/ohio","12.9","28,590","15%","26"
"http://www.abort73.com/abortion_facts/states/","Oklahoma","http://www.abort73.com/abortion_facts/states/oklahoma","7.9","5,860","8%","5"
"http://www.abort73.com/abortion_facts/states/","Oregon","http://www.abort73.com/abortion_facts/states/oregon","14.1","10,690","16%","29"
"http://www.abort73.com/abortion_facts/states/","Pennsylvania","http://www.abort73.com/abortion_facts/states/pennsylvania","15.1","36,870","17%","47"
"http://www.abort73.com/abortion_facts/states/","Rhode Island","http://www.abort73.com/abortion_facts/states/rhode_island","19.8","4,210","24%","4"
"http://www.abort73.com/abortion_facts/states/","South Carolina","http://www.abort73.com/abortion_facts/states/south_carolina","7.1","6,620","9%","9"
"http://www.abort73.com/abortion_facts/states/","South Dakota","http://www.abort73.com/abortion_facts/states/south_dakota","3.9","600","4%","2"
"http://www.abort73.com/abortion_facts/states/","Tennessee","http://www.abort73.com/abortion_facts/states/tennessee","13.1","16,720","15%","14"
"http://www.abort73.com/abortion_facts/states/","Texas","http://www.abort73.com/abortion_facts/states/texas","13.5","73,200","14%","62"
"http://www.abort73.com/abortion_facts/states/","Utah","http://www.abort73.com/abortion_facts/states/utah","5.4","3,290","5%","9"
"http://www.abort73.com/abortion_facts/states/","Vermont","http://www.abort73.com/abortion_facts/states/vermont","11.7","1,370","16%","8"
"http://www.abort73.com/abortion_facts/states/","Virginia","http://www.abort73.com/abortion_facts/states/virginia","16.3","27,110","18%","35"
"http://www.abort73.com/abortion_facts/states/","Washington","http://www.abort73.com/abortion_facts/states/washington","16","21,880","17%","45"
"http://www.abort73.com/abortion_facts/states/","West Virginia","http://www.abort73.com/abortion_facts/states/west_virginia","7","2,390","9%","4"
"http://www.abort73.com/abortion_facts/states/","Wisconsin","http://www.abort73.com/abortion_facts/states/wisconsin","7","7,640","9%","8"
"http://www.abort73.com/abortion_facts/states/","Wyoming","http://www.abort73.com/abortion_facts/states/wyoming","1.1","120","1%","3"
